id|cocktail_id|ingredient_id|portion|created_at|updated_at
1243|276|24|2 dashes|2022-12-10 17:54:44.667719|2022-12-10 17:54:44.667719
1244|276|18|Chilled|2022-12-10 17:54:44.673146|2022-12-10 17:54:44.673146
1245|276|128|1 twist of|2022-12-10 17:54:44.678961|2022-12-10 17:54:44.678961
1246|277|169|2 shots|2022-12-10 17:54:44.684971|2022-12-10 17:54:44.684971
1247|277|18|Top|2022-12-10 17:54:44.690945|2022-12-10 17:54:44.690945
1248|278|18|5 parts|2022-12-10 17:54:44.701173|2022-12-10 17:54:44.701173
1249|278|100|1 part|2022-12-10 17:54:44.708146|2022-12-10 17:54:44.708146
1250|279|18|5 parts|2022-12-10 17:54:44.714892|2022-12-10 17:54:44.714892
1251|279|100|1 part|2022-12-10 17:54:44.721386|2022-12-10 17:54:44.721386
1252|283|22|2 oz|2022-12-10 17:54:44.727817|2022-12-10 17:54:44.727817
1253|283|137|""|2022-12-10 17:54:44.733672|2022-12-10 17:54:44.733672
1254|283|19|1 oz|2022-12-10 17:54:44.740134|2022-12-10 17:54:44.740134
1255|284|25|1/2 tsp superfine|2022-12-10 17:54:44.746997|2022-12-10 17:54:44.746997
1256|284|73|1|2022-12-10 17:54:44.752497|2022-12-10 17:54:44.752497
1257|284|20|2 oz|2022-12-10 17:54:44.760011|2022-12-10 17:54:44.760011
1258|284|48|1 oz|2022-12-10 17:54:44.765619|2022-12-10 17:54:44.765619
1259|284|141|1|2022-12-10 17:54:44.771113|2022-12-10 17:54:44.771113
1260|285|20|2 oz|2022-12-10 17:54:44.776931|2022-12-10 17:54:44.776931
1261|285|104|1 can|2022-12-10 17:54:44.782981|2022-12-10 17:54:44.782981
1262|285|228|2 scoops|2022-12-10 17:54:44.884395|2022-12-10 17:54:44.884395
1263|286|22|3/4 oz|2022-12-10 17:54:44.889983|2022-12-10 17:54:44.889983
1264|286|20|3/4 oz|2022-12-10 17:54:44.895897|2022-12-10 17:54:44.895897
1265|286|103|2-3 oz|2022-12-10 17:54:44.901421|2022-12-10 17:54:44.901421
1266|286|189|3/4 oz|2022-12-10 17:54:44.906814|2022-12-10 17:54:44.906814
1267|287|25|1 tsp superfine|2022-12-10 17:54:44.912296|2022-12-10 17:54:44.912296
1268|287|73|1|2022-12-10 17:54:44.917815|2022-12-10 17:54:44.917815
1269|287|20|2 oz|2022-12-10 17:54:44.923172|2022-12-10 17:54:44.923172
1270|287|166|3 oz|2022-12-10 17:54:44.929214|2022-12-10 17:54:44.929214
1271|287|48|1 oz|2022-12-10 17:54:44.936277|2022-12-10 17:54:44.936277
1272|287|141|1|2022-12-10 17:54:44.942102|2022-12-10 17:54:44.942102
1273|288|20|2 oz|2022-12-10 17:54:44.947861|2022-12-10 17:54:44.947861
1274|288|159|1/2 oz|2022-12-10 17:54:44.953316|2022-12-10 17:54:44.953316
1275|289|20|3 oz|2022-12-10 17:54:44.958897|2022-12-10 17:54:44.958897
1276|289|128|1 twist of|2022-12-10 17:54:44.964493|2022-12-10 17:54:44.964493
1277|289|159|1/2 oz|2022-12-10 17:54:44.969922|2022-12-10 17:54:44.969922
1278|290|131|4 fresh|2022-12-10 17:54:44.976541|2022-12-10 17:54:44.976541
1279|290|70|2 tsp|2022-12-10 17:54:44.983847|2022-12-10 17:54:44.983847
1280|290|20|2 1/2 oz|2022-12-10 17:54:44.989553|2022-12-10 17:54:44.989553
1281|290|138|1 tsp|2022-12-10 17:54:44.994943|2022-12-10 17:54:44.994943
1282|291|25|1 cube|2022-12-10 17:54:45.016419|2022-12-10 17:54:45.016419
1283|291|70|dash|2022-12-10 17:54:45.048037|2022-12-10 17:54:45.048037
1284|291|20|4.5 cL|2022-12-10 17:54:45.075075|2022-12-10 17:54:45.075075
1285|291|153|2 dashes|2022-12-10 17:54:45.081168|2022-12-10 17:54:45.081168
1286|292|131|8|2022-12-10 17:54:45.087943|2022-12-10 17:54:45.087943
1287|292|20|2 oz|2022-12-10 17:54:45.094129|2022-12-10 17:54:45.094129
1288|292|145|1/2 oz|2022-12-10 17:54:45.100328|2022-12-10 17:54:45.100328
1289|293|89|5 cl|2022-12-10 17:54:45.106667|2022-12-10 17:54:45.106667
1290|293|229|Pinch|2022-12-10 17:54:45.199663|2022-12-10 17:54:45.199663
1291|293|230|2 sprigs|2022-12-10 17:54:45.311462|2022-12-10 17:54:45.311462
1292|293|30|2.5 cl|2022-12-10 17:54:45.317122|2022-12-10 17:54:45.317122
1293|293|231|1.5 cl|2022-12-10 17:54:45.416348|2022-12-10 17:54:45.416348
1294|293|232|2.5 cl|2022-12-10 17:54:45.525511|2022-12-10 17:54:45.525511
1295|293|153|2 Dashes|2022-12-10 17:54:45.5314|2022-12-10 17:54:45.5314
1296|294|139|1|2022-12-10 17:54:45.537453|2022-12-10 17:54:45.537453
1297|294|89|2 oz|2022-12-10 17:54:45.543243|2022-12-10 17:54:45.543243
1298|294|25|1-2 tblsp|2022-12-10 17:54:45.549104|2022-12-10 17:54:45.549104
1299|294|132|""|2022-12-10 17:54:45.555185|2022-12-10 17:54:45.555185
1300|294|48|1 oz|2022-12-10 17:54:45.561569|2022-12-10 17:54:45.561569
1301|295|90|1/2 oz|2022-12-10 17:54:45.5693|2022-12-10 17:54:45.5693
1302|295|233|1/2 oz|2022-12-10 17:54:45.680718|2022-12-10 17:54:45.680718
1303|296|94|1 part|2022-12-10 17:54:45.686265|2022-12-10 17:54:45.686265
1304|296|90|1 part|2022-12-10 17:54:45.691575|2022-12-10 17:54:45.691575
1305|297|86|16 oz|2022-12-10 17:54:45.697808|2022-12-10 17:54:45.697808
1306|297|21|1.5 oz|2022-12-10 17:54:45.704228|2022-12-10 17:54:45.704228
1307|317|188|Dash|2022-12-10 17:54:45.710852|2022-12-10 17:54:45.710852
1308|317|182|1/4 oz|2022-12-10 17:54:45.717212|2022-12-10 17:54:45.717212
1309|317|21|1 2/3 oz|2022-12-10 17:54:45.724167|2022-12-10 17:54:45.724167
1310|317|30|3/4 oz|2022-12-10 17:54:45.731546|2022-12-10 17:54:45.731546
1311|317|103|1/2 oz|2022-12-10 17:54:45.73795|2022-12-10 17:54:45.73795
1312|317|184|1/2 oz|2022-12-10 17:54:45.744419|2022-12-10 17:54:45.744419
1313|299|21|3 oz|2022-12-10 17:54:45.750935|2022-12-10 17:54:45.750935
1314|299|76|12 oz|2022-12-10 17:54:45.757272|2022-12-10 17:54:45.757272
1315|300|83|1 slice|2022-12-10 17:54:45.763786|2022-12-10 17:54:45.763786
1316|300|21|1 oz|2022-12-10 17:54:45.771112|2022-12-10 17:54:45.771112
1317|300|234|1 dash|2022-12-10 17:54:45.881665|2022-12-10 17:54:45.881665
1318|300|48|1 dash|2022-12-10 17:54:45.88732|2022-12-10 17:54:45.88732
1319|300|61|2 oz|2022-12-10 17:54:45.893323|2022-12-10 17:54:45.893323
1320|300|235|1 dash|2022-12-10 17:54:46.003718|2022-12-10 17:54:46.003718
1321|301|188|Coarse|2022-12-10 17:54:46.00965|2022-12-10 17:54:46.00965
