id|name|description|instructions|glass_type|thumbnail|portions
422|Barracuda||Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.|Margarita glass|https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg|"{""Rum"": ""4.5 cl"", ""Galliano"": ""1.5 cl"", ""Prosecco"": ""top up "", ""Lime Juice"": "" 1 dash"", ""Pineapple Juice"": ""6 cl""}"
423|Bounty Hunter||Add the spirits into a shaker as well as the pineapple juice, strain into a Margarita glass. Top with Prosecco and garnish with Blueberries.|Margarita glass|https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg|"{""Rum"": ""1 shot"", ""Prosecco"": ""Top"", ""Blueberries"": ""Garnish with"", ""Coconut Liqueur"": ""1 shot"", ""Pineapple Juice"": ""Dash""}"
424|Captain Kidd's Punch||Mix all ingredients together in a shaker and strain into a collins glass. Use Caribbean dark Rum for a sweeter taste.|Collins glass|https://www.thecocktaildb.com/images/media/drink/d83spj1596017390.jpg|"{""Rum"": ""2 shots"", ""Sugar"": ""Ground"", ""Nutmeg"": ""Top"", ""Bitters"": ""1 dash"", ""Egg White"": ""1 shot"", ""Lime Juice"": ""1 shot""}"
425|Espresso Rumtini||Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg|"{""Rum"": ""1 shot"", ""Coffee"": ""1 shot"", ""Espresso"": ""1 shot"", ""Vanilla syrup"": ""1/2 shot""}"
426|Funk and Soul||Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.|Collins glass|https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg|"{""Rum"": ""2 shots"", ""lemon"": ""Juice of 1/2"", ""Soda Water"": ""Top"", ""Apricot Nectar"": ""1 shot"", ""Pomegranate juice"": ""1 shot""}"
427|Hemingway Special||Pour all ingredients into a shaker with ice. Shake.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg|"{""Rum"": ""12 parts"", ""Lime Juice"": ""3 parts"", ""Grapefruit Juice"": ""8 parts"", ""Maraschino Liqueur"": ""3 parts""}"
428|Jamaican Coffee||Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.|Champagne flute|https://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg|"{""Rum"": ""1/6 glass "", ""Water"": ""1/2 glass cold "", ""Coffee"": ""1/6 glass strong black "", ""Whipped cream"": null}"
429|Pure Passion||Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/4tymma1604179273.jpg|"{""Rum"": ""40 ml"", ""Mint"": ""Garnish with"", ""Passoa"": ""20 ml"", ""Lime Juice"": ""30 ml"", ""Peach Bitters"": ""Dash"", ""Passion fruit syrup"": ""15 ml""}"
430|Rum Cooler||Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.|Collins glass|https://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg|"{""Rum"": ""2 oz light or dark "", ""Lemon"": ""1 "", ""Lemon-lime soda"": ""4 oz ""}"
431|Rum Punch||Mix all ingredients in a punch bowl and serve.|Punch bowl|https://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg|"{""Ice"": ""crushed "", ""Rum"": ""mikey bottle "", ""Ginger ale"": ""large bottle "", ""Fruit punch"": ""355 ml frozen "", ""Orange juice"": ""355 ml frozen ""}"
432|Rum Toddy||Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg|"{""Rum"": ""2 oz light or dark "", ""Water"": ""2 tsp "", ""Lemon peel"": ""1 twist of "", ""Powdered sugar"": ""2 tsp ""}"
